curator_id,review_num
11101823,588
8874646,345
26612790,18
25053313,28
27093039,1045
26587388,24
9283139,8
11796776,13
27032354,422
30583116,236
31899806,78
6299351,26
28920669,12
2225920,383
29519836,1037
7421824,310
26868738,154
30950813,259
26063227,276
29660712,59
29227165,292
7719170,61
27286390,180
28673811,227
28102584,50
30978207,32
29278210,165
30479051,21
28958948,81
29124471,44
28624127,23
30575498,33
31619534,71
31439853,39
31326738,10
26702971,14
31654322,15
30371452,17
31816351,12
31566937,11
31719211,49
5678282,12
31459006,13
31436059,12
31264336,22
32550526,10
26214428,345
28359939,158
7213898,204
12320518,189
18512258,115
7211838,16
6847299,38
10436844,380
255962,308
26836284,274
28277107,72
30613815,114
30965867,68
31406066,124
31468031,42
11195704,38
30758828,18
28890141,10
31415358,66
6857609,17
29311430,41
30737006,22
31446454,10
27701692,11
11915052,11
12188076,12
31318556,739
1701450,117
26800746,10
28763059,245
29426545,262
31716674,154
6600281,61
32340435,42
28615762,12
28704832,29
31452136,10
31446004,9
29206794,10
26806555,30
10566883,250
8296770,26
26822327,50
21968733,29
8853986,140
9730205,130
27189748,99
11988349,73
27265437,79
27810667,73
20106495,46
27285894,24
9427233,11
8166009,26
7281517,10
30614503,48
30690451,25
28556708,14
28742381,16
27837084,9
25581001,11
10803674,17
28114013,37
28888669,14
27443950,70
28225156,19
27296871,46
24920555,13
31413080,45
7036325,26
11468983,19
27895600,23
6606443,10
27864100,10
10272081,15
23107961,11
9973472,15
28615615,16
27829769,15
31562401,26
31459748,29
27455433,10
32581542,23
28042807,10
31072951,11
31406422,15
5859305,22
27618217,10
31551159,45
26583864,66
11123770,214
30261852,137
28686140,14
30151591,54
26846254,60
25949088,10
26206305,30
26304590,12
30020834,12
27836350,12
31468181,10
31437187,23
10591434,36
15267459,153
28393564,10
6631740,40
28126722,54
6005751,12
29313776,17
26007073,14
28636465,27
10883644,30
30746794,24
7030435,11
26007724,13
9429862,10
31031120,11
5406557,10
9170052,112
11627247,73
9257914,12
24308437,15
24572742,10
24679791,18
25212199,25
30491618,20
6534548,51
6862910,107
27162873,234
30227022,37
29311869,13
30200697,107
25762467,66
31023855,10
26160795,57
6368405,11
2939180,19
27270436,32
29281219,19
7827159,46
8283458,35
28150217,89
9235937,63
30552257,36
28451225,12
27020207,10
29998126,40
7999889,15
31435773,22
30637904,15
28140379,12
31403901,12
30759880,14
32526754,20
30253125,239
18641956,20
8809102,10
31511874,31
31396423,11
4116436,17
12132122,22
28521374,10
12140249,11
22236406,10
5287518,26
31688443,11
26245409,10
29534861,10
30943141,11
32679045,13
27645392,10
10570945,61
27157216,66
7845657,13
6862584,91
11718590,65
11865912,29
28852810,27
27732274,13
28405432,13
12166383,18
5149649,17
29969861,15
28979223,15
9160037,15
27544409,12
31226948,32
7265041,7
11906825,10
16442757,12
26941261,243
7565130,13
30593919,12
31028614,61
27091668,13
12725743,15
29690331,44
11213981,68
10741279,10
30287156,51
30233119,43
28830274,12
25663463,11
25863835,26
30652643,15
24207633,10
26328625,11
31679455,24
11648376,21
28531137,11
2992985,23
32207007,11
7522001,11
5702537,49
28660683,43
6199005,16
6884228,18
30432488,16
23162272,11
27797318,41
10592736,11
26226934,59
11519170,15
27511154,15
30500136,15
31374125,10
27519098,10
32408508,10
26590808,47
11349716,15
29036471,18
3834437,8
31437149,14
31324676,18
23374597,17
31268829,11
26975079,42
23763705,12
28003264,53
11314380,14
26505085,28
12213532,35
31326176,11
6263585,24
2339958,32
27280223,10
30247051,18
30751224,12
8237187,17
30821682,19
27746775,14
29245474,66
17026111,10
26218669,11
25333749,34
25616464,15
31364298,22
9850871,11
31626233,12
27716997,36
28394129,11
29525784,10
6859139,11
5440842,11
31435719,14
7139805,11
9143155,10
723019,11
4437408,11
7776843,18
27586765,10
8063913,11
27752587,11
10787565,8
30633157,12
21961041,26
25601524,12
28558669,16
27417432,19
27810528,10
30938230,13
27809435,17
32577064,10
6866353,10
11479782,11
26008253,10
22946623,15
6122589,16
9235097,30
2178975,11
24339058,11
7924752,19
30026493,13
12029292,None
27659620,10
27210809,12
12174106,10
9783482,12
12198244,12
26785365,10
28851600,11
9540775,14
11923132,9
11426153,10
12051471,10
11910440,12
31458979,10
25161469,91
30722960,23
26992471,9
25838903,28
27244664,14
27499329,10
31425703,14
32303244,10
11876419,20
11307899,14
29164866,14
27740945,10
9204501,10
26572202,15
27160480,15
29051992,10
8994239,10
31281172,9
27938985,10
27210265,16
30793315,14
4028675,30
27937494,10
29982786,9
31905646,10
28342273,10
31445603,11
30978771,15
28135451,3
11253815,13
28976152,11
30396350,12
31853332,11
32219726,11
29311617,20
7846668,17
32575914,None
2806586,10
30834424,12
28150433,26
29270393,17
31452274,14
10086555,10
8356158,19
11355928,14
32576278,12
9941129,10
28066448,42
11038737,12
11050578,10
27992622,15
31921088,10
22026105,29
10971594,12
30846904,10
31080604,15
6508874,12
25364004,18
7536092,10
5494824,10
31052337,12
9282284,10
9294032,10
32134000,8
29342338,11
32669802,10
6798542,16
12075302,10
27244621,13
27296626,10
28775781,20
28014474,13
25279564,12
7733000,11
5794120,14
27320581,10
27645116,10
7197145,10
8492851,16
7924574,10
3653966,11
6910649,10
30523301,11
6187263,8
11967561,15
26964223,10
25065750,10
25739789,12
8126675,11
27258671,10
31485457,9
8315975,16
7016264,10
31145033,14
11349440,13
20376350,24
11929830,10
31012617,12
31049784,10
29235768,13
7490264,18
12062337,14
29359991,10
27569903,10
129630,10
11232091,10
30500267,10
31412814,10
26170457,10
7654156,17
31095638,15
24589260,10
30969994,11
12173527,18
27092635,11
31446707,10
28892682,10
26932727,10
24531381,12
29330553,12
30407602,11
4604602,9
25028285,10
28839733,19
28271142,10
26001500,10
25196143,10
28436514,8
21200299,14
8461277,10
7004163,13
31150531,10
12030792,9
27010798,10
26850299,15
24705873,11
26869422,10
7450723,14
12162189,10
8002132,21
6191420,12
11744017,16
6004335,9
12171682,11
31445519,11
30447014,10
8019202,12
26494076,10
28651398,10
8919082,10
12098859,10
6853096,13
27757218,9
22254277,10
11113109,10
28543447,12
31593210,10
7034930,9
7364668,10
25295175,9
25969451,10
26988020,10
8411902,10
11855704,15
4126816,9
11802060,10
